Day,ONE_DAY_PRECIPITATION
2020-06-01 0:00:00,1
2020-06-02 0:00:00,5.6
2020-06-03 0:00:00,4.1
2020-06-04 0:00:00,4
2020-06-05 0:00:00,6.2
2020-06-06 0:00:00,4
2020-06-07 0:00:00,3.4
2020-06-08 0:00:00,6
2020-06-09 0:00:00,7.8
2020-06-10 0:00:00,8
2020-06-11 0:00:00,9
2020-06-12 0:00:00,3
2020-06-13 0:00:00,5.9
2020-06-14 0:00:00,1.4
2020-06-15 0:00:00,1.6
2020-06-16 0:00:00,1.8
2020-06-17 0:00:00,1.9
2020-06-18 0:00:00,3.4
2020-06-19 0:00:00,2.1
2020-06-20 0:00:00,4.9
2020-06-21 0:00:00,2.3
2020-06-22 0:00:00,9.1
2020-06-23 0:00:00,5.3
2020-06-24 0:00:00,4
2020-06-25 0:00:00,6
2020-06-26 0:00:00,7.6
2020-06-27 0:00:00,9.9
2020-06-28 0:00:00,3
2020-06-29 0:00:00,2.2
2020-06-30 0:00:00,5.4
2020-07-01 0:00:00,0.8
