序號,"學校代碼",公私立,體制,學校名稱,學校英文名稱,職稱,姓名,縣市別,"第三級行政區","郵遞區號",學校地址,學校總機,學校傳真,網址
1,0001,公立,一般大學,國立政治大學,National Chengchi Universerity,校長,郭明政,臺北市,文山區,11605,臺北市文山區指南路2段64號,02-2939-3091,02-2937-9611,http://www.nccu.edu.tw
2,0002,公立,一般大學,國立清華大學,National Tsing Hua University,校長,賀陳弘,新竹市,新竹市,30013,新竹市光復路2段101號,03-571-5131,03-572-4038,http://www.nthu.edu.tw
3,0003,公立,一般大學,國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,校長,管中閔,臺北市,大安區,10617,臺北市大安區羅斯福路4段1號,02-3366-3366,02-2362-7651,http://www.ntu.edu.tw
4,0004,公立,一般大學,國立臺灣師範大學,National Taiwan Normal University,校長,吳正己,臺北市,大安區,10610,臺北市大安區和平東路1段162號,02-7749-1111,無,http://www.ntnu.edu.tw
5,0005,公立,一般大學,國立成功大學,National Cheng Kung University,校長,蘇慧貞,臺南市,東　區,70101,臺南市東區大學路1號,06-275-7575,06-276-6462,http://www.ncku.edu.tw
6,0006,公立,一般大學,國立中興大學,National Chung Hsing University,校長,薛富盛,臺中市,南　區,40227,台中市南區興大路145號,04-2287-3181,04-2287-3702,http://www.nchu.edu.tw/index1.php
7,0007,公立,一般大學,國立交通大學,National Chiao Tung University,校長,陳信宏代理,新竹市,新竹市,30010,新竹市大學路1001號,03-571-2121,03-573-1776,http://www.nctu.edu.tw/
8,0008,公立,一般大學,國立中央大學,National Central University,校長,周景揚,桃園市,中壢區,32001,桃園市中壢區中大路300號,03-422-7151,03-425-4842,http://www.ncu.edu.tw
9,0009,公立,一般大學,國立中山大學,National Sun Yat-sen University,校長,鄭英耀,高雄市,鼓山區,80424,高雄市鼓山區蓮海路70號,07-525-2000,07-525-0227,http://www.nsysu.edu.tw
10,0012,公立,一般大學,國立臺灣海洋大學,National Taiwan Ocean University,校長,許泰文,基隆市,中正區,20224,基隆市北寧路2號,02-2462-2192,02-2462-0724,http://www.ntou.edu.tw
11,0013,公立,一般大學,國立中正大學,National Chung Cheng University,校長,馮展華,嘉義縣,民雄鄉,62102,嘉義縣民雄鄉大學路168號,05-272-0411,05-272-0401,http://www.ccu.edu.tw
12,0014,公立,一般大學,國立高雄師範大學,National Kaohsiung Normal University,校長,吳連賞,高雄市,苓雅區,80201,高雄市苓雅區和平一路116號,07-717-2930,07-605-1022,http://www.nknu.edu.tw
13,0015,公立,一般大學,國立彰化師範大學,National Changhua University of Education,校長,陳明飛,彰化縣,彰化市,50007,彰化市進德路1號,04-723-2105,04-721-1098,http://www.ncue.edu.tw
14,0016,公立,一般大學,國立陽明大學,National Yang-Ming University,校長,郭旭崧,臺北市,北投區,11221,臺北市北投區立農街2段155號,02-2826-7000,02-2825-0936,http://www.ym.edu.tw
15,0017,公立,一般大學,國立臺北大學,NATIONAL TAIPEI UNIVERSITY,校長,李承嘉,新北市,三峽區,23741,新北市三峽區大學路151號,02-8674-1111,02-8671-8000,http://www.ntpu.edu.tw/
