Serial Number,ID,Public/Private,System,Name,Eng. Name,Postal Code,Latitude,Longitude,Address,City,County,Neighborhood,County (zh)
1,0001,Public,一般大學,國立政治大學,National Chengchi Universerity,11605,24.98741,121.57651,"No. 64, Sec 2, Zhi Nan Rd., Wenshan District, Taipei City, 116, Taiwan",Taipei City,Taipei City,Wenshan District,臺北市
2,0002,Public,一般大學,國立清華大學,National Tsing Hua University,30013,24.79635,120.99686,"No. 101, Sec 2, Guang Fu Rd., East District, Hsinchu City, 300, Taiwan",Hsinchu City,Hsinchu City,East District,新竹市
3,0003,Public,一般大學,國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,10617,25.01697,121.53369,"No. 1, Sec 4, Luo Si Fu Rd., Daan District, Taipei City, 106, Taiwan",Taipei City,Taipei City,Daan District,臺北市
4,0004,Public,一般大學,國立臺灣師範大學,National Taiwan Normal University,10610,25.02643,121.52756,"No. 162, Sec 1, He Ping E. Rd., Daan District, Taipei City, 106, Taiwan",Taipei City,Taipei City,Daan District,臺北市
5,0005,Public,一般大學,國立成功大學,National Cheng Kung University,70101,22.99632,120.21953,"No. 1, Da Syue Rd., East District, Tainan City, 701, Taiwan",Tainan City,Tainan City,East District,臺南市
6,0006,Public,一般大學,國立中興大學,National Chung Hsing University,40227,24.12323,120.67598,"No. 145, Xing Da Rd., South District, Taichung City, 402, Taiwan",Taichung City,Taichung City,South District,臺中市
7,0007,Public,一般大學,國立交通大學,National Chiao Tung University,30010,24.78914,120.99949,"No. 1001, Da Xue Rd., East District, Hsinchu City, 300, Taiwan",Hsinchu City,Hsinchu City,East District,新竹市
8,0008,Public,一般大學,國立中央大學,National Central University,32001,24.96843,121.19564,"No. 300, Zhong Da Rd., Zhongli District, Taoyuan City, 320, Taiwan",Taoyuan City,Taoyuan City,Zhongli District,桃園市
9,0009,Public,一般大學,國立中山大學,National Sun Yat-sen University,80424,22.62644,120.26593,"No. 70, Lian Hai Rd., Gushan District, Kaohsiung City, 804, Taiwan",Kaohsiung City,Kaohsiung City,Gushan District,高雄市
10,0012,Public,一般大學,國立臺灣海洋大學,National Taiwan Ocean University,20224,25.15086,121.77262,"No. 2, Bei Ning Rd., Zhongzheng District, Keelung City, 202, Taiwan",Keelung City,Keelung City,Zhongzheng District,基隆市
11,0013,Public,一般大學,國立中正大學,National Chung Cheng University,62102,23.56146,120.47339,"No. 168, 大學路, San Xing Vil., Minxiong Township, Chiayi County 621, Taiwan",Minxiong Township,Chiayi County,San Xing Vil.,嘉義縣
12,0014,Public,一般大學,國立高雄師範大學,National Kaohsiung Normal University,80201,22.62657,120.31984,"No. 116, He Ping 1st Rd., Lingya District, Kaohsiung City, 802, Taiwan",Kaohsiung City,Kaohsiung City,Lingya District,高雄市
13,0015,Public,一般大學,國立彰化師範大學,National Changhua University of Education,50007,24.08152,120.55856,"No. 1, Jin De Rd., Fu Xing Vil., Changhua City, Changhua County 500, Taiwan",Changhua City,Changhua County,Fu Xing Vil.,彰化縣
14,0016,Public,一般大學,國立陽明大學,National Yang-Ming University,11221,25.11965,121.51331,"No. 155, Sec 2, Li Nong St., Beitou District, Taipei City, 112, Taiwan",Taipei City,Taipei City,Beitou District,臺北市
15,0017,Public,一般大學,國立臺北大學,NATIONAL TAIPEI UNIVERSITY,23741,24.94514,121.37317,"No. 151, Da Syue Rd., Sanxia District, New Taipei City, 237, Taiwan",New Taipei City,New Taipei City,Sanxia District,新北市
16,0018,Public,一般大學,國立嘉義大學,National Chiayi University,60004,23.46369,120.48353,"No. 300, Xue Fu Rd., East District, Chiayi City, 600, Taiwan",Chiayi City,Chiayi City,East District,嘉義市
17,0019,Public,一般大學,國立高雄大學,National University of Kaohsiung,81148,22.73389,120.28281,"No. 700, Gao Xiong Da Xue Rd., Nanzih District, Kaohsiung City, 811, Taiwan",Kaohsiung City,Kaohsiung City,Nanzih District,高雄市
18,0020,Public,一般大學,國立東華大學,National Dong Hwa University,97401,23.89425,121.54343,"No. 1, Sec 2, Da Xue Rd., Zhi Xue Vil., Shoufeng Township, Hualien County 974, Taiwan",Shoufeng Township,Hualien County,Zhi Xue Vil.,花蓮縣
19,0021,Public,一般大學,國立暨南國際大學,National Chi Nan University,54561,23.9511,120.93081,"No. 1, Da Syue Rd., Tao Mi Vil., Puli Township, Nantou County 545, Taiwan",Puli Township,Nantou County,Tao Mi Vil.,南投縣
20,0022,Public,技專校院,國立臺灣科技大學,National Taiwan University of Science and Technology,10607,25.01371,121.54059,"No. 43, Sec 4, Kee Lung Rd., Daan District, Taipei City, 106, Taiwan",Taipei City,Taipei City,Daan District,臺北市
21,0023,Public,技專校院,國立雲林科技大學,National Yunlin University of Science & Technology,64002,23.69495,120.53485,"No. 123, Sec 3, Da Xue Rd., Long Tan Vil., Douliou City, Yunlin County 640, Taiwan",Douliou City,Yunlin County,Long Tan Vil.,雲林縣
22,0024,Public,技專校院,國立屏東科技大學,National Pingtung University of Science and Technology,91201,22.64119,120.59608,"No. 1, Syue Fu Rd., Lao PI Vil., Neipu Township, Pingtung County 912, Taiwan",Neipu Township,Pingtung County,Lao PI Vil.,屏東縣
23,0025,Public,技專校院,國立臺北科技大學,National Taipei University of Technology,10608,25.0422,121.53551,"No. 1, Sec 3, Zhong Xiao E. Rd., Daan District, Taipei City, 106, Taiwan",Taipei City,Taipei City,Daan District,臺北市
24,0028,Public,一般大學,國立臺北藝術大學,Taipei National University of the Arts,11201,25.12993,121.46618,"No. 1, Xue Yuan Rd., Beitou District, Taipei City, 112, Taiwan",Taipei City,Taipei City,Beitou District,臺北市
25,0029,Public,一般大學,國立臺灣藝術大學,National Taiwan University of Arts,22058,25.00589,121.44756,"No. 59, Sec 1, Da Guan Rd., Banqiao District, New Taipei City, 220, Taiwan",New Taipei City,New Taipei City,Banqiao District,新北市
