University (zh),University (eng),University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,清華大學新體育館 NTHU Stadium,24.79386808103315,120.99231759112963,College Stadium
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,NCTU Gym,24.78959935194348,120.99567825123992,College Gym
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,NCTU Swimming Pool,24.789434514972225,120.99559983689971,Gym Pool
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,World Gym,25.014469881581036,121.5345996398396,Gym / Fitness Center
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,台灣大學舊體育館,25.01973264758622,121.5358211267131,College Gym
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,Taipei Gym 台北健身院新生店,25.020456935618974,121.53368805982521,Gym / Fitness Center
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,NTU Sports Center (臺灣大學綜合體育館 NTU Sports Center),25.02154939712612,121.53575422214841,College Gym
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,Formosa Fitness,25.02644293539476,121.51824304422043,Gym
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,True Fitness 古亭健身館,25.026708,121.521847,Gym / Fitness Center
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,師大體育館 NTNU Gymnasium,25.026018575845264,121.52638719725526,College Gym
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,Force Fitness 運動空間,25.024227446176692,121.52451927629161,Boxing Gym
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,World Gym Express 麗水,25.030794146495666,121.528557689849,Gym / Fitness Center
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,KLINE,25.03359599512442,121.53134516205832,Gym / Fitness Center
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,Taipei Gym 台北健身院新生店,25.020456935618974,121.53368805982521,Gym / Fitness Center
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,NTU Sports Center (臺灣大學綜合體育館 NTU Sports Center),25.02154939712612,121.53575422214841,College Gym
國立臺灣師範大學,National Taiwan Normal University,25.026429999999998,121.52756000000001,武甲總合武術,25.026031494140625,121.52342224121094,Martial Arts School
