University (zh),University (eng),University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,滇味廚房,24.987366158373113,121.57747376295434,Chinese Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,道南館,24.988596149681374,121.57360196113586,Coffee Shop
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,JASONS Market Place,24.98834451173356,121.57637308534153,Supermarket
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,咖啡大亨磨坊 DICTY CAFÉ,24.987489216295295,121.57641940047301,Café
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Starbucks (星巴克),24.98771593753624,121.57589908276547,Coffee Shop
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,小公寓 Apt. Café,24.987728593248494,121.57552936823076,Café
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Ruins Coffee Roasters (小廢墟),24.990748521903292,121.57107077891204,Coffee Shop
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,松町和風小舖,24.9859669710974,121.57072542078288,Japanese Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Giant Panda House (大貓熊館),24.99733660503929,121.58309974308806,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Desert Animal Area (木柵動物園 沙漠動物區),24.996004378961764,121.58364229508315,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Taipei Zoo (臺北市立動物園),24.99833236743596,121.58127929970246,Zoo
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,木柵市場,24.988592830731857,121.56943571924957,Farmers Market
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Juicy Bun Burger,24.988155883830807,121.57617374739799,Burger Joint
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,木柵動物園非洲動物區,24.995092293217187,121.58721456060364,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,逢玉冰果室,24.9874243787166,121.56857736018894,Ice Cream Shop
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,7-Eleven,24.991726270801692,121.5738500351616,Convenience Store
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,三老村水餃滷味,24.988606011049058,121.5646031851607,Dumpling Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,貓茶町 4H House,24.9858458266935,121.56743472938373,Cupcake Shop
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,無尾熊館,24.998160063185274,121.58250659326893,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,樂山日式食堂,24.988862106715274,121.5736888487474,Japanese Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Taipei Zoo Visitor Center,24.998494917416117,121.58150796789391,Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,7-Eleven,24.987387,121.577125,Convenience Store
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Arty Burger,24.988855032200494,121.57444450148124,Breakfast Spot
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,My麵屋,24.98825277900943,121.5743632626057,Noodle House
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,7-Eleven,24.984865800418365,121.57998074599945,Convenience Store
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,7-Eleven,24.987723412532496,121.57552397721891,Convenience Store
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,7-ELEVEn（指南門市）,24.98770464359629,121.56961390231724,Convenience Store
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Discovery 發現義大利麵,24.987977902309936,121.5739832414035,Italian Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,McDonald's (麥當勞 McDonald's),24.9878375445385,121.57482464066925,Fast Food Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Starbucks (星巴克),24.988676518478798,121.5668588775968,Coffee Shop
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,7-Eleven,24.998437738209084,121.58142420177302,Convenience Store
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,玉口香扁食園 (政大店),24.987354282692188,121.57685412466833,Noodle House
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Subway,24.98834719226688,121.57638005882085,Sandwich Place
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,串霸 串燒專賣店,24.986649379995498,121.57077340877878,BBQ Joint
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,道南河堤公園,24.992926908620543,121.57385560868478,Playground
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,星巴克 STARBUCKS（木柵門市）,24.98774315533625,121.56955834144277,Coffee Shop
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Eco Caf'e,24.980392001585923,121.57220583392336,Café
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,萊爾富 Hi-Life,24.980450809062035,121.57203305207788,Convenience Store
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,道南右岸河濱公園,24.995166705294537,121.5724064834799,Park
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,公車貓纜動物園站,24.996289803226446,121.57635809308132,Bus Station
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,八方雲集,24.98854284819419,121.56626979154612,Chinese Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,木柵動物園  遊客列車上,24.99527313751665,121.58292337007188,Theme Park Ride / Attraction
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,木柵動物園 熱帶雨林區,24.995066999742107,121.58339645489028,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,老饒牛肉麵,24.983244580138457,121.56652061648704,Noodle House
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,貓空纜車動物園南站 Maokong Gondola Taipei Zoo South Station,24.990154,121.58735,Cable Car
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Maokong Gondola Line,24.990187,121.58735,Cable Car
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,公車捷運木柵站 MRT Muzha Sta. Bus Stop,24.9977305548444,121.574054610553,Bus Station
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,老潘鵝肉,24.983109464039153,121.56577928784625,Asian Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,里米特三明治,24.997818338195582,121.57402281425426,Sandwich Place
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,MRT Taipei Zoo Sta. & Bus Stop (公車捷運動物園站),24.998200594555748,121.57944333119266,Bus Stop
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,包子.饅頭.,24.998468,121.574231,Bakery
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,木柵動物園 澳洲區,24.99541146849521,121.58567643817044,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,木柵動物園  昆蟲館,24.99793551079949,121.58174187105216,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,貓熊餐廳,24.997400752916818,121.58308498926817,Cafeteria
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,山崴烘焙 Boulangerie Shan Wei,24.99905076862866,121.5741621520415,Bakery
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,渣男 Taiwan Bistro《木柵二渣》,24.99825668334961,121.57076263427734,Sake Bar
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,麥當勞 McDonald's,24.998639840347707,121.58164917110848,Fast Food Restaurant
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Hippopotamus (河馬廣場),24.99524,121.587131,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,頂呱呱@Taipei Zoo,24.995351643526163,121.58740403801696,Fried Chicken Joint
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,非洲犀牛區,24.99408853901389,121.58845730377303,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,木柵動物園 溫帶動物區,24.993137090641845,121.58936566800274,Zoo Exhibit
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,Joymaster,25.00048845225724,121.57568370959689,Tech Startup
國立政治大學,National Chengchi Universerity,24.98741,121.57651000000001,非洲大象區,24.995312643449882,121.58856172326598,Zoo Exhibit
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,立晉豆花,24.79679502794322,120.99825779252514,Dessert Shop
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,四川段純貞牛肉麵,24.80270784109992,120.99382956629718,Noodle House
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,Smile Cafe 清大圖書館,24.795562833505052,120.99508454140104,Café
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,吉米洋食屋,24.796558380219004,120.99855714258129,Italian Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,交大小木屋鬆餅,24.787567936103788,120.99751912648148,Snack Place
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,璽子牛肉麵,24.797632931777,120.98556812744023,Chinese Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,海瑞貢丸,24.791807927438494,121.00346497132819,Asian Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,NTHU night market (清大夜市 宵夜街),24.79680518998753,120.99818748332059,Night Market
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,十八尖山,24.79546588869216,120.98657624781518,Mountain
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,7-ELEVEn（高清門巿）,24.796047363080266,120.99821548784955,Convenience Store
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,Go eat Tapas,24.802025,120.993001,Tapas Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,7-ELEVEn（清大門市）,24.793305525903477,120.99327538875978,Convenience Store
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,MOS Burger (摩斯漢堡 MOS Burger),24.796900890822066,120.99679778861008,Fast Food Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,7-Eleven,24.788978760896136,120.99834430859931,Convenience Store
